,X,file_name,speaker_title,speaker_title_clean,ai_paragraph,Marketing Knowledge,Cusomter Experience,Product,Place,Marketing Operation,Price,Promotion,Other
88335,88335,2021-Aug-02-DSPG.OQ^L21-138417223214-transcript.txt,"Tali Chen,  DSP Group, Inc. - Corporate VP & Chief Business Officer    [4]", Corporate VP & Chief Business Officer,"This increase underscores what we see as a market shift in consumer preference in favor of voice-based interfaces. DSP Group is playing a key role in addressing these needs with our SmartVoice portfolio and our edge AI sort of algorithms, which, together, are powering a broad array of applications and products, allowing greater flexibility, accuracy and reliability. ",0,0,1,0,0,0,0,0
71160,71160,2019-Nov-07-LPSN.OQ-140780492455-transcript.txt,"Robert P. LoCascio,  LivePerson, Inc. - Founder, Chairman & CEO    [3]"," Founder, Chairman & CEO","Second theme is around our position of industry leadership. We've long-held that LivePerson has established at least 12-month to 18-month competitive lead center around a unique vision platform and value proposition. With the recent product introductions and our advancements in AI-powered conversation, we continue to maintain our unique competitive position.",0,0,1,0,0,0,0,0
59833,59833,2018-Sep-05-ZS.OQ-138738314498-transcript.txt,"Jay Chaudhry,  Zscaler, Inc. - Chairman & CEO    [3]", Chairman & CEO,"Two weeks ago, we announced the acquisition of market-leading artificial intelligence and machine learning technology and the development team of stealth-mode security start-up, TrustPath. TrustPath developed AI algorithms to identify new threats and provide deep visibility, resulting in enhanced security efficacy. These innovations will be incorporated into our extensible cloud platform and derive intelligence from 50 billion transactions we process daily to identify enormous traffic, build user behavior profiles, and detect sophisticated targeted attacks as they emerge.",0,1,1,0,0,0,0,0
90435,90435,2021-Aug-16-WGS.OQ-138197447403-transcript.txt,"Eric Schadt,  Sema4 Holdings Corp. - Founder & CEO    [3]", Founder & CEO,"This vision became my and the Company's main mission. And today we are powered by more than 1,000 professionals focused on advancing the use of big data advanced artificial intelligence developments in machine learning and probabilistic causal reasoning to deliver better patient outcomes and transform the practice of medicine.",1,1,1,0,0,0,0,0
91125,91125,2021-Feb-02-MNDT.OQ^I22-140140007758-transcript.txt,"Kevin R. Mandia,  FireEye, Inc. - CEO & Director    [3]", CEO & Director,"Entering 2021, organizations are facing an ever-increasing barrage of cyberattacks that threaten our operations every day. Our position on the front lines of security and the quality of our intelligence represent a sustainable advantage for FireEye. We are leveraging this advantage in our security control products to deliver best-of-breed protection. But we are focused on going beyond our controls technology and addressing the challenges of today's security operations by providing the Mandiant Advantage platform: first, to make it easy to operationalize our threat intelligence; second, to enable alert triage at machine speed through AI and machine learning technologies, so 100% of alerts are processed and high-risk indicators are prioritized for human analysis; third, to empower customers to measure, manage and communicate their security effectiveness and proactively test their resilience against the latest attacks; and lastly, to scale our expertise through technology, making it available on demand as a managed service or through professional services engagements, depending on our customers' needs. ",0,0,1,0,0,0,0,0
81005,81005,2020-Mar-10-CLDR.N^J21-140338115234-transcript.txt,"Robert G. Bearden,  Cloudera, Inc. - President, CEO & Director    [25]"," President, CEO & Director","And so I'll pick up on Arun's comments. It's not about any one tier, meaning private or public, it's about actually managing the entire life cycle of that data and being the platform that manages that entire life cycle of data for a hybrid multi-cloud environment. So that means that it is imperative that you do on-prem, private, public, all the way to the Edge and then be able to deliver the experiences through that platform for AI, machine learning, data engineering, streaming and data warehousing simultaneously across any tier and most importantly, and the criticality in this is to be able to have a common security and governance environment across that entire life cycle for any tier consistently, predictably. And that's what SDX delivers through one pane of glass. And so that is a very different approach than being able to just deliver a point SaaS service for a line of business, right? But that's truly where we get the maximum amount of data under value -- under management and deliver the maximum amount of value back to our customers.",0,0,0,1,0,0,0,0
162959,162959,2024-May-07-ALAB.OQ-137380035677-transcript.txt,"Jitendra Mohan,  Astera Labs Inc - Chief Executive Officer, Director    [3]"," Chief Executive Officer, Director","We are working alongside our customers to ensure these complex and different architectures achieve maximum performance and operate reliably even as data rates continue to double. As the systems continue to move data faster and growing complexity, we expect to see our average dollar content per AI platform increase and even more so with the new products we have in development.",0,0,0,1,0,0,0,0
71944,71944,2019-Nov-25-AMBA.OQ-137517782819-transcript.txt,"Fermi Wang,  Ambarella, Inc. - Co-Founder, President, CEO & Executive Chairman    [47]"," Co-Founder, President, CEO & Executive Chairman","          I think it's just consumer. I think our current customer list, if you go through that, you can see we have very strong customers in consumer IP security camera space, basically for home monitoring. And I believe that the trend will continue, and the AI trend will continue there, and most of them are having RFQs out there for the AI-based camera requirement for the second half of next year.",0,0,1,0,0,0,0,0
122069,122069,2023-Aug-07-RDVT.OQ-138853106073-transcript.txt,"Derek Dubner,  Red Violet, Inc. - Chairman & CEO    [3]", Chairman & CEO,"With our AI ML platform and high confidence data, we believe we have an extraordinary opportunity in front of us to build a number of AI applications, including generative AI to layer over our platform, which will not only materially enhance our platform capabilities, but also enable various industries to intelligently interact with and run analytics across our high confidence data to inform their business processes and decision-making. Given the opportunity at hand, we will take a measured approach and increase our investment in AI. And as time passes and the opportunities become more defined, we will be able to better quantify the plans around the size and the impact of this investment. ",1,1,1,0,0,0,0,0
158165,158165,2024-Jul-30-MSFT.OQ-141078020593-transcript.txt,"Satya Nadella,  Microsoft Corp - Chairman of the Board, Chief Executive Officer    [3]"," Chairman of the Board, Chief Executive Officer","We added new AI accelerators from AMD and NVIDIA as well as our own first-party silicon Azure Maia, and we introduced new Cobalt 100, which provides best-in-class performance for customers like Elastic, MongoDB, Siemens, Snowflake, and Teradata.",0,0,1,0,0,0,0,0
87439,87439,2021-Apr-22-SNAP.N-138624548904-transcript.txt,"Ross Adam Sandler,  Barclays Bank PLC, Research Division - MD of Americas Equity Research & Senior Internet Analyst    [14]", MD of Americas Equity Research & Senior Internet Analyst,And then you recently acquired Fit Analytics and Ariel AI. How do those 2 acquisitions fit into the strategy?,0,0,0,0,0,0,0,1
42915,42915,2017-May-10-PEGA.OQ-137493563836-transcript.txt,"Alan Trefler,  Pegasystems, Inc. - Founder, Chairman and CEO    [3]"," Founder, Chairman and CEO","Now because our software actually watches how it's running and how users interact with it and recommends based on observations, best practices and analysis, how to change, improve and optimize, this is miles and miles beyond what can really be done by others. The path we think -- the path -- Customer Decision Hub is far and away the best AI platform in the market, and we've continued to extend that leadership by introducing a number of new products that take advantage of its robust AI capabilities so far this year. ",0,1,1,0,0,0,0,0
92396,92396,2021-Feb-23-PEN.N-139657220020-transcript.txt,"Adam Elsesser,  Penumbra, Inc. - Co-Founder, Chairman, President & CEO    [3]"," Co-Founder, Chairman, President & CEO","In addition, we announced our partnership with RapidAI to bring their cutting-edge artificial intelligence platform from stroke to PE. From early conversations with pulmonary embolism response teams, also known as PER teams at hospitals, there is a lot of interest and need to streamline the communication flow and decision-making in PE cases to help more patients and help them faster. Lightning 12 is just scratching the surface in venous and pulmonary thrombectomy, even though adoption and physician feedback since its third quarter launch has been extraordinary. ",1,0,1,0,0,0,0,0
130767,130767,2023-Jun-08-BRZE.OQ-138525671759-transcript.txt,"William Magnuson,  Braze, Inc. - Co-Founder, Chairman & CEO    [12]"," Co-Founder, Chairman & CEO","And so as we continue to capture more of those, I think we see more scale. There's more of a center of gravity coming in because the data flow is all in that one place. People get comfortable turning more moments of their brand promise, their product journey, their -- whether maybe it's their data governance or the way the data moves through their organization and gets analyzed, the ways that they optimize the data insights with AI and ML investments over time. Those are all new personas that are coming in and ultimately moving those workloads to be executed by our stream processor and defined by the Canvas engine, and that just creates tremendous potential and optionality for us in the future.",0,0,0,1,0,0,0,0
83633,83633,2020-Nov-02-ANET.N-140288216610-transcript.txt,"Jayshree V. Ullal,  Arista Networks, Inc. - President, CEO & Director    [5]"," President, CEO & Director","Our core universal cloud network design for data center continues to expand with Arista as the pioneer. We have been the market leader, driving to the #1 position in the 100 gigabit ethernet switching market and early leadership in 400-gig with flexible software partnerships for SONiC open [cloud network] and FBOSS with our cloud titan customers. We have been pushing the envelope of storage, compute and AI clusters at cloud scale. This quarter, we delivered our vision managed in a time series state-driven database as a network-wide service hosted in the cloud. Clearly, we're enabling cloud principles across the entire enterprise, with 5 As of agility, availability, automation, analytics and an AI- and API-driven network. ",0,0,1,0,0,0,0,0
160064,160064,2024-Mar-07-IOT.N-138389467583-transcript.txt,"Sanjit Biswas,  Samsara Inc. - Co-Founder, CEO & Chairman    [2]"," Co-Founder, CEO & Chairman","Samsara's Connected Operations Cloud is powered by a flywheel of data from our customers' growing digitization efforts. This enables AI-driven insights to help our customers operate more safely, efficiently, and sustainably. We've been investing in our cloud, which continues to grow and become more sophisticated. Over the last fiscal year, our cloud processed more than 9 trillion data points and 75 billion API calls, digitized more than 230 million workflows across our platform and recorded more than 60 billion miles driven. Our partner ecosystem, Samsara's App Marketplace has also grown to include more than 270 integrations with third-party systems. ",0,1,1,0,0,0,0,0
76386,76386,2020-Aug-26-PLAN.N^F22-137673935067-transcript.txt,"Frank A. Calderoni,  Anaplan, Inc. - Chairman, President & CEO    [3]"," Chairman, President & CEO","In a few weeks, we will be hosting our annual user conference, Connected Planning Xperience, virtually. We will announce some new product expansion related to predictive AI and intelligence techniques, extending and building on the strength of our Connected Planning platform. We look forward to sharing the details at CPX.",0,0,1,0,0,0,0,0
104807,104807,2022-Aug-05-NTRP.OQ-138653416304-transcript.txt,"Jacob Brunsberg,  Sigma Labs, Inc. - CEO, President & Director    [3]"," CEO, President & Director","As part of this work, we are preparing to announce new products that will combine streaming machine health data from major OEMs and off-access camera data, image and thermal and on-access melt pool technology to provide a centralized home for the industry in process quality solutions. We believe that these new products and with the guidance of our product counsel, OEMs and software partners, Sigma Additive Solutions will be at the center of quality and connection to any point solution for quality and in the marketplace. We believe the connected and open data we are creating will allow users to simplify their quality operations, identify gross defects, utilize machine learning and AI platforms and drastically improve total cost of development and production. ",0,0,0,1,0,0,0,0
72182,72182,2019-Oct-22-FITB.OQ-140910981908-transcript.txt,"Gregory D. Carmichael,  Fifth Third Bancorp - Chairman, President & CEO    [50]"," Chairman, President & CEO","If you go back in 2007, just look at our central operations, and you look at 2007 to 2019, we grew that expense base 1% over that 12-year period of time. And we're $30 million bigger in assets, and this will be more in transactions. We focus a lot of our technology investments in operational efficiencies, back-office capabilities, artificial intelligence capabilities to better serve our clients. We're getting paid well for those type of investments. ",0,1,0,0,0,0,0,0
102482,102482,2021-Sep-09-CXM.N-140997226583-transcript.txt,"Ragy Thomas,  Sprinklr, Inc. - Founder, Chairman & CEO    [3]"," Founder, Chairman & CEO","As you can see, bringing a modern mindset to a traditional capability like voice and putting it alongside the modern digital channels that consumers now use more is a powerful differentiator for us, and it's an area we'll continue to invest in. To that end, we have just completed the acquisition of a small company called [VoiceN], an AI-powered voice-to-text analytics and workforce optimization platform. And we've brought on its remarkable engineering team with the domain expertise in voice-to-text and contact center AI as we continue to double down and build out our capabilities. ",0,1,1,0,0,0,0,0
69678,69678,2019-May-09-SYNA.OQ-139935154178-transcript.txt,"Saleel Awsare,  Synaptics Incorporated - Senior VP and GM of IoT Division, Corporate Marketing & IR    [2]"," Senior VP and GM of IoT Division, Corporate Marketing & IR","We are the leading solutions provider for intelligence at the edge, and we expect to capitalize and extend this lead. Smart Edge requires innovative technologies and integrated platforms that support the full range of consumer needs. Synaptics is building on its legacy as the leader in human interface technology to deliver a broad range of differentiated integrated solutions that encapsulate voice and audio, video and display, AI, as well as security and consumer privacy.",0,0,1,0,0,0,0,0
63978,63978,2019-Feb-13-EQIX.OQ-140112892739-transcript.txt,"Charles J. Meyers,  Equinix, Inc. (REIT) - President, CEO & Director    [3]"," President, CEO & Director","          Thanks, Kat. Good afternoon, everybody, and welcome to our fourth quarter earnings call. We had great end of the year delivering our 64th consecutive quarter of revenue growth and eclipsing a key milestone with over $5 billion in revenue for the year. The opportunity for Equinix is as compelling as ever, as digital transformation is reshaping virtually every industry across the globe. Digital and the infrastructure that fuels it have emerged as board-level issues, and this digital imperative is transcending the macroeconomic volatility we see in the market. Customers are thinking differently about how they interact with their customers in every element of their supply chain. And the major tech trends, whether it be AI, IoT, big data or 5G, are all amplifying this digital tailwind. In the wake of this digital transformation wave, a clear architecture of choice has emerged for our customers. That architecture is global, highly distributed, hybrid and multicloud. And for a variety of reasons, customers are increasingly looking to locate this infrastructure at Equinix. Leveraging our interconnected digital edge to achieve performance, security, compliance, flexibility and total cost of ownership benefits that can only be supported by the physics of proximity and the economics of aggregation. These compelling advantages are translating into strong performance in the business and give us solid momentum as we enter 2019 and beyond. ",0,0,0,0,0,0,0,1
99272,99272,2021-Nov-04-AVLR.K^J22-140586848440-transcript.txt,"Scott M. McFarlane,  Avalara, Inc. - Co-Founder, Chairman & CEO    [3]"," Co-Founder, Chairman & CEO","As part of our growth strategy to expand our international reach, we are very pleased with the attendance and the excitement at our annual international flagship event, Virtual Inspire-2021 in October. The event was a big success with more than 4,000 registrations from around the world, the largest in our history. The theme this year was Powering Global Commerce and was focused on empowering leaders with the knowledge they need to grow their business internationally. We believe that to dominate the future of global compliance and distance ourselves even further from the competition, we must have the best content powered by AI and machine learning, the largest number of partner integrations and the most robust technology platform, not to mention best-in-class onboarding.  ",0,0,0,0,0,0,0,1
131434,131434,2023-Mar-02-INVE.OQ-140338556944-transcript.txt,"Steven Humphreys,  Identiv, Inc. - CEO & Director    [4]", CEO & Director,"In Video Analytics, our new Vision AI software is the core of this strategic focus in 2023. With this technology, we've now integrated a wide set of machine learning analytics into our Velocity Vision system. Integrated with our Velocity Access Management platform, we're bringing intelligence to physical security and the entire experience as people interact with buildings and other facilities around them. This analytics suite is also ideally positioned to expand our growing recurring revenue base.",0,0,1,0,0,0,0,0
166631,166631,2024-May-30-NTAP.OQ-141177018840-transcript.txt,"George Kurian,  NetApp Inc - Independent Director    [3]", Independent Director,"They are rapidly ramping up their AI infrastructure, building new models and onboarding AI resources. They awarded us the deal over their AI server vendor because of our ability to remove roadblocks in their AI workflows and accelerate the time-to-value from their AI investments.",0,0,0,1,0,0,0,0
151604,151604,2024-Feb-06-LUMN.N-138106537828-transcript.txt,"Kate Johnson,  Lumen Technologies, Inc. - President & CEO    [3]", President & CEO,"Time to talk about innovation; innovating for growth. As we announced last month, Dr. Satish Lakshmanan joined Lumen as our Chief Product Officer. Satish comes to us from AWS, and brings a highly valuable combination of cloud, artificial intelligence, and product development experience that will be an important part of fueling our innovation engine.",0,0,1,0,0,0,0,0
115220,115220,2022-Nov-03-ICE.N-139019660462-transcript.txt,"Benjamin R. Jackson,  Intercontinental Exchange, Inc. - President    [4]", President,"Through our AIQ solution and analyzer tools, customers can save thousands of dollars per loan by leveraging our artificial intelligence and machine learning tools to drive automation in the loan manufacturing process. We are pleased that the value of our offerings continues to resonate with lenders, and we remain optimistic about the long-term opportunity to leverage our mission-critical technology and data expertise to accelerate the analog to digital conversion happening in the industry.",0,0,1,0,0,0,0,0
118774,118774,2023-Apr-25-GOOGL.OQ-140631444702-transcript.txt,"Sundar Pichai,  Alphabet Inc. - CEO & Director    [3]", CEO & Director,"On to my second theme, the company's sharpened focus. I spoke last quarter about our commitment to invest responsibly and with discipline and to find areas where we can operate more cost effectively and with greater velocity. We have significant multiyear efforts underway to create savings, such as improving machine utilization and finding more scalable and efficient ways to train and serve machine learning models. We are making our data centers more efficient, redistributing workloads and equipment where servers aren't being fully used. This is important work as we continue to significantly invest in infrastructure to drive our many AI opportunities. ",0,0,0,0,0,0,0,1
131527,131527,2023-Mar-02-VERI.OQ-139795117373-transcript.txt,"Ryan Scott Steelberg,  Veritone, Inc. - Co-Founder, CEO, President & Director    [3]"," Co-Founder, CEO, President & Director","Veritone provides applications, solutions and services to our customers that eliminate the noise and simply improve their processes and outcomes at significant margins to Veritone. Today, we are clearly an established leader in delivering AI-enabled results to more than 600 commercial customers with strong customer growth and retention, we expect to extend that lead not only in our commercial markets but also with our targeted government and regulated clients as well. The people we have attracted and the technology we continue to develop are the foundational elements for Veritone to capture and dominate our targeted markets.  ",0,0,1,0,0,0,0,0
130492,130492,2023-Jun-01-PD.N-140137568013-transcript.txt,"Jennifer G. Tejada,  PagerDuty, Inc. - Chair of the Board & CEO    [13]", Chair of the Board & CEO,"Yes. Thanks, Tim, for that question. First of all, I would start with we already see customers engaging in large strategic cloud operation -- Operations Cloud deals. And we talked about two earlier in the prepared remarks, where the actual cost pressure and the margin pressure to do more with less is actually, in some cases, the impetus for a customer to engage with us and expand their deployment from pure incident response to include the benefit of AI and -- in our AIOps product and automation. So that is one area. And we also, as I mentioned, saw an improvement in the mix of new product versus more traditional incident response in both our pipeline and our ARR for the quarter.",0,0,1,0,0,0,0,0
88948,88948,2021-Aug-04-TTEC.OQ-137115375560-transcript.txt,"Kenneth D. Tuchman,  TTEC Holdings, Inc. - Founder, Chairman & CEO    [3]"," Founder, Chairman & CEO","Today, we manage hundreds of thousands of CX licenses, making TTEC one of the largest CX technology solution providers in the marketplace. Additionally, we currently employ thousands of dedicated CX technology professionals, including full stack and application developers, data scientists and AI and automation specialists. We are viewed as the leading specialized technology partner for the top CX ecosystems in the world, highlighted by Amazon Web Services, Genesys, Cisco, Microsoft, and Salesforce to name a few. ",0,0,1,0,0,0,0,0
